Order_ID,Product,Category,Region,Sales,Quantity,Rating
1001,Laptop,Electronics,West,75000,2,4.5
1002,Mouse,Accessories,North,1500,5,4.1
1003,Keyboard,Accessories,West,3000,3,4.3
1004,Monitor,Electronics,South,25000,2,4.6
1005,Laptop,Electronics,North,80000,2,4.7
1006,Headphones,Accessories,West,5000,4,4.2
1007,Keyboard,Accessories,South,3500,3,4.0
1008,Monitor,Electronics,West,30000,2,4.8
1009,Mouse,Accessories,North,1800,6,4.4
1010,Laptop,Electronics,South,70000,2,4.5
1011,Headphones,Accessories,North,5500,5,4.1
1012,Monitor,Electronics,South,28000,2,4.6
