Order_ID,Order_Date,Product,Category,Region,Sales,Quantity
1001,2026-01-05,Laptop,Electronics,West,75000,2
1002,2026-01-08,Mouse,Accessories,North,1500,5
1003,2026-01-12,Keyboard,Accessories,West,3000,3
1004,2026-01-18,Monitor,Electronics,South,25000,2
1005,2026-02-03,Laptop,Electronics,North,80000,2
1006,2026-02-09,Headphones,Accessories,West,5000,4
1007,2026-02-15,Keyboard,Accessories,South,3500,3
1008,2026-02-22,Monitor,Electronics,West,30000,2
1009,2026-03-04,Mouse,Accessories,North,1800,6
1010,2026-03-11,Laptop,Electronics,South,70000,2
1011,2026-03-18,Headphones,Accessories,North,5500,5
1012,2026-03-25,Monitor,Electronics,South,28000,2
1013,2026-04-02,Laptop,Electronics,West,72000,2
1014,2026-04-10,Mouse,Accessories,South,1600,4
1015,2026-04-21,Keyboard,Accessories,North,3200,3
1016,2026-05-05,Monitor,Electronics,West,27000,2
1017,2026-05-12,Laptop,Electronics,North,78000,2
1018,2026-05-19,Headphones,Accessories,South,5200,4
1019,2026-06-03,Keyboard,Accessories,West,3400,3
1020,2026-06-17,Laptop,Electronics,South,69000,2
